StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.1_1,Q1.1_2,Q1.1_3,Q1.1_4,Q1.2,Q2.1,Q2.2,Q2.3,Q26,Q27,Q2.4,Q2.5,Q2.6,Q21,Q3.1,Q3.2,Q3.2_5_TEXT,Q3.3,Q41,Q18,Q20,Q3.4,Q3.5,Q3.6,Q22,SC0,Payment,Q3.5 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Session 1 Checklist
Session Information - Date of Session (mm/dd/yyyy)","Session 1 Checklist
Session Information - Time of Session Start","Session 1 Checklist
Session Information - Experimenter Initials","Session 1 Checklist
Session Information - Participant ID (###)",Is this a follow up visit?,Please confirm that you completed the following tasks by checking the box.,"Please include all relevant details about session issues, concerns, missing data etc.",Did you finish session 1?,Did you schedule them for session 2?,What is the date for session 2? I.e. 10/08/2019,Did you personally schedule them for a follow-up?,What is the date for the session 1 follow-up?,Do you need a coordinator to reach out and schedule them for a session 1 follow-up?,How long do you estimate you need to complete the follow-up visit?,Please confirm that you completed the following tasks by checking the boxes.,"Which forms did they complete (from first session 1 visit)?
Note: Do NOT select anything that you did not get to during the first visit, only items that were missing, incomplete etc. - Selected Choice","Which forms did they complete (from first session 1 visit)?
Note: Do NOT select anything that you did not get to during the first visit, only items that were missing, incomplete etc. - Other - Text",Did you finish session 1?,"To track participant payment amounts for session 1, please indicate how much total time was spent on follow-up appointments. Do not include time spent on the initial visit.","You indicated that you spent more than 5 hours on session 1 follow-ups, please record how much time you spent total on session 1 follow-ups.",How long did you spend on this follow-up visit?,Did you personally schedule them for a follow-up?,What is the date for the session 1 follow-up?,Do you need a coordinator to reach out and schedule them for a session 1 follow-up visit?,How long do you estimate you need to complete the follow-up visit?,Payment Amount,Payment,Q3.5 - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID13""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID36""}","{""ImportId"":""QID36_5_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID41""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID49""}","{""ImportId"":""QID29""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""SC_3z0HKHrcqQS3Zrf""}","{""ImportId"":""Payment""}","{""ImportId"":""QID34_TEXT_66f6c411c1fb4cbcabdf88fbTopics""}"
8/14/19 12:53,8/14/19 12:54,1,,100,41,1,8/14/19 12:54,R_1HqwSdTVogqRXJa,,,,,40.79570007,-77.86180115,preview,EN,8/14/19,3PM,BBH,1,,"1,9,5,6,7",,,,,,,,,,,,,,,,,,,,0,,
8/15/19 9:02,8/15/19 9:05,0,128.118.7.26,100,207,1,8/15/19 9:05,R_3dKXaX5vlLr83eo,,,,,40.79570007,-77.86180115,anonymous,EN,8/15/19,8:00 AM,BBH and AS,8,,"1,2,9,3,10,4,5,8,11",need to follow up and finish up SCID-5. Also SD card was full and during the overview we needed to get a new SD card.,,,,,,,,,,,,,,,,,,,0,,
8/15/19 12:08,8/15/19 12:09,0,128.118.7.27,100,32,1,8/15/19 12:09,R_1pX6PtfUzA21ezw,,,,,40.79570007,-77.86180115,anonymous,EN,8/14/19,6:00,DP,1,,"1,2,9,3,10,4,5,6,7,8,11",,,,,,,,,,,,,,,,,,,,0,,
8/16/19 14:51,8/16/19 14:55,0,128.118.7.26,100,229,1,8/16/19 14:55,R_81VyYg6dhvqAVO1,,,,,40.79570007,-77.86180115,anonymous,EN,8/16/19,3pm,BH,5,,"1,2,9,3,10,5,6,7,8,11","transfer from pandaa. video not on for first ~5 min of interview. Begonia interviewing, Nate observing.",,,,,,,,,,,,,,,,,,,0,,
8/22/19 18:36,8/22/19 18:36,0,98.235.70.167,100,57,1,8/22/19 18:36,R_1qethceItR3OtYM,,,,,40.81030273,-77.88800049,anonymous,EN,8/22/19,4PM,NH,9,2,"1,2,3,10,4,5,8",,,,,,,,,,,,,,,,,,,,0,,
8/23/19 15:02,8/23/19 15:03,0,128.118.7.27,100,62,1,8/23/19 15:03,R_7VBk2Zo5I0nOy65,,,,,40.79570007,-77.86180115,anonymous,EN,8/19/19,1:00PM,SP,10,2,"1,2,9,3,10,4,5,6,7,8",Will need to schedule follow-up,,,,,,,,,,,,,,,,,,,0,,
8/27/19 10:27,8/27/19 10:28,1,,100,28,1,8/27/19 10:28,R_2WTINYFnQIMiigU,,,,,40.79570007,-77.86180115,preview,EN,,,,,2,"1,2,9,3,10,4,5,6,8",,1,,,,,,,,,,,,,,,,,,0,,
8/27/19 11:34,8/27/19 11:38,0,128.118.7.26,100,205,1,8/27/19 11:38,R_1rCxAgWeo4EmZR0,,,,,40.79570007,-77.86180115,anonymous,EN,8/27/19,11,AMS,3,2,"1,2,9,3,10,4,5,6,8",Participant has copper IUD. Does that make her completely ineligible for the study?,1,,,,,,,,,,,,,,,,,,0,,
